Name,Quality,stattrak_available,souvenir_available,weapon_type,min_float,max_float,worst_condition_index,best_condition_index,containers_found_in,DefIndex,PaintIndex
AK-47 | Aquamarine Revenge,covert,True,False,rifle,0.0,1.0,4,0,falchion case,7,474
AK-47 | Slate,restricted,True,False,rifle,0.0,1.0,4,0,snakebite case,7,1035
AK-47 | Steel Delta,mil-spec,False,True,rifle,0.0,0.73,4,0,anubis collection package,7,1238
AK-47 | The Empress,covert,True,False,rifle,0.0,1.0,4,0,spectrum 2 case,7,675
AK-47 | Uncharted,mil-spec,True,False,rifle,0.0,0.75,4,0,prisma case,7,836
AK-47 | Vulcan,covert,True,False,rifle,0.0,0.9,4,0,huntsman weapon case,7,302
AK-47 | Wasteland Rebel,covert,True,False,rifle,0.05,0.7,4,0,operation vanguard weapon case,7,380
AK-47 | Wild Lotus,covert,False,False,rifle,0.0,1.0,4,0,the st marc collection,7,724
AK-47 | X-Ray,covert,False,False,rifle,0.0,1.0,4,0,the havoc collection,7,1004
AUG | Akihabara Accept,covert,False,False,rifle,0.0,1.0,4,0,the rising sun collection,8,455
AUG | Amber Fade,mil-spec,False,False,rifle,0.0,0.4,3,0,the 2021 train collection,8,246
AUG | Amber Slipstream,mil-spec,True,False,rifle,0.0,0.55,4,0,horizon case,8,708
AUG | Anodized Navy,mil-spec,False,False,rifle,0.0,0.08,1,0,the alpha collection,8,197
AUG | Arctic Wolf,restricted,True,False,rifle,0.0,0.7,4,0,shattered web case,8,886
AUG | Aristocrat,restricted,True,False,rifle,0.0,0.66,4,0,gamma case,8,583
AUG | Bengal Tiger,classified,True,False,rifle,0.06,0.8,4,0,esports 2014 summer case,8,9
AUG | Carved Jade,mil-spec,False,True,rifle,0.0,0.2,2,0,the ancient collection,8,1033
AUG | Chameleon,covert,True,False,rifle,0.0,0.5,4,0,operation phoenix weapon case,8,280
AUG | Colony,consumer grade,False,True,rifle,0.06,0.8,4,0,the mirage collection,8,47
AUG | Condemned,industrial grade,False,True,rifle,0.06,0.8,4,0,the safehouse collection,8,110
AUG | Contractor,consumer grade,False,True,rifle,0.06,0.8,4,0,the italy collection,8,46
AUG | Copperhead,mil-spec,False,False,rifle,0.12,0.38,2,1,the dust collection,8,10
AUG | Daedalus,consumer grade,False,False,rifle,0.0,0.55,4,0,the gods and monsters collection,8,444
AUG | Death by Puppy,classified,True,False,rifle,0.0,0.4,3,0,cs20 case,8,913
AUG | Flame Jörmungandr,restricted,False,False,rifle,0.0,0.5,4,0,the norse collection,8,758
AUG | Fleet Flock,classified,True,False,rifle,0.0,1.0,4,0,chroma 3 case,8,541
AUG | Hot Rod,mil-spec,False,False,rifle,0.0,0.08,1,0,the assault collection,8,33
AUG | Midnight Lily,restricted,False,False,rifle,0.0,0.5,4,0,the st marc collection,8,727
AUG | Momentum,classified,True,False,rifle,0.05,1.0,4,0,prisma case,8,845
AUG | Navy Murano,consumer grade,False,False,rifle,0.0,1.0,4,0,the canals collection,8,740
AUG | Plague,mil-spec,True,False,rifle,0.0,0.76,4,0,operation riptide case,8,1088
AUG | Radiation Hazard,industrial grade,False,True,rifle,0.0,0.55,4,0,the cache collection,8,375
AUG | Random Access,restricted,False,True,rifle,0.0,0.5,4,0,the 2018 nuke collection,8,779
AUG | Ricochet,mil-spec,True,False,rifle,0.0,0.8,4,0,revolver case,8,507
AUG | Sand Storm,restricted,False,True,rifle,0.0,0.5,4,0,the 2021 mirage collection,8,823
AUG | Snake Pit,consumer grade,False,True,rifle,0.0,0.55,4,0,anubis collection package,8,1249
AUG | Spalted Wood,industrial grade,False,True,rifle,0.0,0.48,4,0,the 2021 dust 2 collection,8,927
AUG | Storm,consumer grade,False,True,rifle,0.06,0.8,4,0,the lake collection,8,100
AUG | Stymphalian,classified,True,False,rifle,0.0,0.63,4,0,clutch case,8,690
AUG | Surveillance,consumer grade,False,False,rifle,0.0,0.6,4,0,the control collection,8,995
AUG | Sweeper,consumer grade,False,True,rifle,0.0,0.6,4,0,the 2018 inferno collection,8,794
AUG | Syd Mead,classified,True,False,rifle,0.0,0.8,4,0,gamma 2 case,8,601
AUG | Tom Cat,mil-spec,True,False,rifle,0.0,0.8,4,0,prisma 2 case,8,942
AUG | Torque,restricted,True,False,rifle,0.0,0.5,4,0,huntsman weapon case,8,305
AUG | Triqua,mil-spec,True,False,rifle,0.0,1.0,4,0,spectrum 2 case,8,674
AUG | Wings,mil-spec,True,False,rifle,0.0,0.14,1,0,csgo weapon case,8,73
AWP | Acheron,mil-spec,False,True,sniper rifle,0.0,0.83,4,0,the 2018 nuke collection,9,788
AWP | Asiimov,covert,True,False,sniper rifle,0.18,1.0,4,2,operation phoenix weapon case,9,279
AWP | Atheris,restricted,True,False,sniper rifle,0.0,1.0,4,0,prisma case,9,838
AWP | Black Nile,mil-spec,False,True,sniper rifle,0.0,0.75,4,0,anubis collection package,9,1239
AWP | BOOM,classified,True,False,sniper rifle,0.06,0.28,2,0,esports 2013 case,9,174
AWP | Capillary,mil-spec,True,False,sniper rifle,0.05,0.7,4,0,prisma 2 case,9,943
AWP | Chromatic Aberration,covert,True,False,sniper rifle,0.0,0.7,4,0,recoil case,9,1144
AWP | Chrome Cannon,covert,True,False,sniper rifle,0.0,1.0,4,0,kilowatt case,9,1170
AWP | Containment Breach,covert,True,False,sniper rifle,0.0,1.0,4,0,shattered web case,9,887
AWP | Corticera,classified,True,False,sniper rifle,0.06,0.3,2,0,esports 2014 summer case,9,181
AWP | Desert Hydra,covert,False,True,sniper rifle,0.0,0.6,4,0,the 2021 mirage collection,9,819
AWP | Dragon Lore,covert,False,True,sniper rifle,0.0,0.7,4,0,the cobblestone collection,9,344
AWP | Duality,classified,True,False,sniper rifle,0.0,0.8,4,0,revolution case,9,1222
AWP | Electric Hive,classified,True,False,sniper rifle,0.0,0.4,3,0,esports 2013 winter case,9,227
AWP | Elite Build,classified,True,False,sniper rifle,0.0,1.0,4,0,operation wildfire case,9,525
AWP | Exoskeleton,restricted,True,False,sniper rifle,0.0,1.0,4,0,operation broken fang case,9,975
AWP | Fade,covert,False,False,sniper rifle,0.0,0.08,1,0,the control collection,9,1026
AWP | Fever Dream,classified,True,False,sniper rifle,0.0,0.55,4,0,spectrum case,9,640
AWP | Graphite,classified,True,False,sniper rifle,0.0,0.12,1,0,operation bravo case,9,212
AWP | Gungnir,covert,False,False,sniper rifle,0.0,0.6,4,0,the norse collection,9,756
AWP | Hyper Beast,covert,True,False,sniper rifle,0.0,1.0,4,0,falchion case,9,475
AWP | Lightning Strike,covert,True,False,sniper rifle,0.0,0.08,1,0,csgo weapon case,9,51
AWP | Man-o'-war,covert,True,False,sniper rifle,0.1,0.2,2,1,chroma case,9,395
AWP | Medusa,covert,False,False,sniper rifle,0.0,1.0,4,0,the gods and monsters collection,9,446
AWP | Mortis,classified,True,False,sniper rifle,0.0,0.64,4,0,clutch case,9,691
AWP | Neo-Noir,covert,True,False,sniper rifle,0.0,0.5,4,0,danger zone case,9,803
AWP | Oni Taiji,covert,True,False,sniper rifle,0.0,0.5,4,0,operation hydra case,9,662
AWP | PAW,restricted,True,False,sniper rifle,0.0,0.5,4,0,horizon case,9,718
AWP | Phobos,restricted,True,False,sniper rifle,0.0,0.4,3,0,gamma case,9,584
AWP | Pink DDPAT,restricted,False,True,sniper rifle,0.06,0.8,4,0,the overpass collection,9,84
AWP | Pit Viper,restricted,False,True,sniper rifle,0.08,0.5,4,1,the italy collection,9,251
AWP | POP AWP,restricted,False,False,sniper rifle,0.0,0.44,3,0,the 2021 train collection,9,1058
AWP | Redline,classified,True,False,sniper rifle,0.1,0.4,3,1,winter offensive weapon case,9,259
AWP | Safari Mesh,industrial grade,False,True,sniper rifle,0.06,0.8,4,0,the lake collection,9,72
AWP | Silk Tiger,classified,False,False,sniper rifle,0.0,0.6,4,0,the havoc collection,9,1029
AWP | Snake Camo,mil-spec,False,False,sniper rifle,0.06,0.8,4,0,the dust collection,9,30
AWP | Sun in Leo,industrial grade,False,False,sniper rifle,0.0,0.5,4,0,the gods and monsters collection,9,451
AWP | The Prince,covert,False,False,sniper rifle,0.0,0.6,4,0,the canals collection,9,736
AWP | Wildfire,covert,True,False,sniper rifle,0.01,0.7,4,0,cs20 case,9,917
AWP | Worm God,restricted,True,False,sniper rifle,0.0,0.45,3,0,chroma 2 case,9,424
Bayonet | Autotronic,covert,True,False,knife,0.0,0.85,4,0,"gamma 2 case, gamma case",500,573
Bayonet | Black Laminate,covert,True,False,knife,0.0,1.0,4,0,"gamma 2 case, gamma case",500,563
Bayonet | Blue Steel,covert,True,False,knife,0.0,1.0,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,42
Bayonet | Boreal Forest,covert,True,False,knife,0.06,0.8,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,77
Bayonet | Bright Water,covert,True,False,knife,0.0,0.5,4,0,"gamma 2 case, gamma case",500,578
Bayonet | Case Hardened,covert,True,False,knife,0.0,1.0,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,44
Bayonet | Crimson Web,covert,True,False,knife,0.06,0.8,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,12
Bayonet | Damascus Steel,covert,True,False,knife,0.0,0.5,4,0,"chroma 3 case, chroma 2 case, chroma case",500,410
Bayonet | Doppler,covert,True,False,knife,0.0,0.08,1,0,"chroma 3 case, chroma 2 case, chroma case",500,421
Bayonet | Fade,covert,True,False,knife,0.0,0.08,1,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,38
Bayonet | Forest DDPAT,covert,True,False,knife,0.06,0.8,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,5
Bayonet | Freehand,covert,True,False,knife,0.0,0.48,4,0,"gamma 2 case, gamma case",500,580
Bayonet | Gamma Doppler,covert,True,False,knife,0.0,0.08,1,0,"gamma 2 case, gamma case",500,572
Bayonet | Lore,covert,True,False,knife,0.0,0.65,4,0,"gamma 2 case, gamma case",500,558
Bayonet | Marble Fade,covert,True,False,knife,0.0,0.08,1,0,"chroma 3 case, chroma 2 case, chroma case",500,413
Bayonet | Night,covert,True,False,knife,0.06,0.8,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,40
Bayonet | Rust Coat,covert,True,False,knife,0.4,1.0,4,3,"chroma 3 case, chroma 2 case, chroma case",500,414
Bayonet | Safari Mesh,covert,True,False,knife,0.06,0.8,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,72
Bayonet | Scorched,covert,True,False,knife,0.06,0.8,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,175
Bayonet | Slaughter,covert,True,False,knife,0.01,0.26,2,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,59
Bayonet | Stained,covert,True,False,knife,0.0,1.0,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,43
Bayonet | Tiger Tooth,covert,True,False,knife,0.0,0.08,1,0,"chroma 3 case, chroma 2 case, chroma case",500,409
Bayonet | Ultraviolet,covert,True,False,knife,0.06,0.8,4,0,"chroma 3 case, chroma 2 case, chroma case",500,98
Bayonet | Urban Masked,covert,True,False,knife,0.06,0.8,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,143
Bayonet | ★ (Vanilla),covert,True,False,knife,0.0,1.0,4,0,"revolver case, operation vanguard weapon case, operation phoenix weapon case, winter offensive weapon case, csgo weapon case 3, esports 2013 winter case, esports 2014 summer case, csgo weapon case 2, operation bravo case, esports 2013 case, csgo weapon case",500,0
Bloodhound Gloves | Bronzed,extraordinary,False,False,gloves,0.06,0.8,4,0,"glove case, operation hydra case",5027,10008
Bloodhound Gloves | Charred,extraordinary,False,False,gloves,0.06,0.8,4,0,"glove case, operation hydra case",5027,10006
Bloodhound Gloves | Guerrilla,extraordinary,False,False,gloves,0.06,0.8,4,0,"glove case, operation hydra case",5027,10039
Bloodhound Gloves | Snakebite,extraordinary,False,False,gloves,0.06,0.8,4,0,"glove case, operation hydra case",5027,10007
Bowie Knife | Autotronic,covert,True,False,knife,0.0,0.85,4,0,"dreams and nightmares case, operation riptide case",514,1114
Bowie Knife | Black Laminate,covert,True,False,knife,0.0,1.0,4,0,"dreams and nightmares case, operation riptide case",514,1109
Bowie Knife | Blue Steel,covert,True,False,knife,0.0,1.0,4,0,,514,42
Bowie Knife | Boreal Forest,covert,True,False,knife,0.06,0.8,4,0,,514,77
Bowie Knife | Bright Water,covert,True,False,knife,0.0,0.5,4,0,"dreams and nightmares case, operation riptide case",514,579
Bowie Knife | Case Hardened,covert,True,False,knife,0.0,1.0,4,0,,514,44
Bowie Knife | Crimson Web,covert,True,False,knife,0.06,0.8,4,0,,514,12
Bowie Knife | Damascus Steel,covert,True,False,knife,0.0,0.5,4,0,"spectrum 2 case, spectrum case",514,411
Bowie Knife | Doppler,covert,True,False,knife,0.0,0.08,1,0,"spectrum 2 case, spectrum case",514,421
Bowie Knife | Fade,covert,True,False,knife,0.0,0.08,1,0,,514,38
Bowie Knife | Forest DDPAT,covert,True,False,knife,0.06,0.8,4,0,,514,5
Bowie Knife | Freehand,covert,True,False,knife,0.0,0.48,4,0,"dreams and nightmares case, operation riptide case",514,581
Bowie Knife | Gamma Doppler,covert,True,False,knife,0.0,0.08,1,0,"dreams and nightmares case, operation riptide case",514,572
Bowie Knife | Lore,covert,True,False,knife,0.0,1.0,4,0,"dreams and nightmares case, operation riptide case",514,1104
Bowie Knife | Marble Fade,covert,True,False,knife,0.0,0.08,1,0,"spectrum 2 case, spectrum case",514,413
Bowie Knife | Night,covert,True,False,knife,0.06,0.8,4,0,,514,40
Bowie Knife | Rust Coat,covert,True,False,knife,0.4,1.0,4,3,"spectrum 2 case, spectrum case",514,414
Bowie Knife | Safari Mesh,covert,True,False,knife,0.06,0.8,4,0,,514,72
Bowie Knife | Scorched,covert,True,False,knife,0.06,0.8,4,0,,514,175
Bowie Knife | Slaughter,covert,True,False,knife,0.01,0.26,2,0,,514,59
Bowie Knife | Stained,covert,True,False,knife,0.0,1.0,4,0,,514,43
Bowie Knife | Tiger Tooth,covert,True,False,knife,0.0,0.08,1,0,"spectrum 2 case, spectrum case",514,409
Bowie Knife | Ultraviolet,covert,True,False,knife,0.06,0.8,4,0,"spectrum 2 case, spectrum case",514,98
Bowie Knife | Urban Masked,covert,True,False,knife,0.06,0.8,4,0,,514,143
Bowie Knife | ★ (Vanilla),covert,True,False,knife,0.0,1.0,4,0,,514,0
Broken Fang Gloves | Jade,extraordinary,False,False,gloves,0.06,0.8,4,0,"recoil case, snakebite case, operation broken fang case",4725,10085
Broken Fang Gloves | Needle Point,extraordinary,False,False,gloves,0.06,0.8,4,0,"recoil case, snakebite case, operation broken fang case",4725,10087
Broken Fang Gloves | Unhinged,extraordinary,False,False,gloves,0.06,0.8,4,0,"recoil case, snakebite case, operation broken fang case",4725,10088
Broken Fang Gloves | Yellow-banded,extraordinary,False,False,gloves,0.06,0.8,4,0,"recoil case, snakebite case, operation broken fang case",4725,10086
Butterfly Knife | Autotronic,covert,True,False,knife,0.0,0.85,4,0,"dreams and nightmares case, operation riptide case",515,1115
Butterfly Knife | Black Laminate,covert,True,False,knife,0.0,1.0,4,0,"dreams and nightmares case, operation riptide case",515,1110
Butterfly Knife | Blue Steel,covert,True,False,knife,0.0,1.0,4,0,,515,42
Butterfly Knife | Boreal Forest,covert,True,False,knife,0.06,0.8,4,0,,515,77
Butterfly Knife | Bright Water,covert,True,False,knife,0.0,0.5,4,0,"dreams and nightmares case, operation riptide case",515,579
Butterfly Knife | Case Hardened,covert,True,False,knife,0.0,1.0,4,0,,515,44
Butterfly Knife | Crimson Web,covert,True,False,knife,0.06,0.8,4,0,,515,12
Butterfly Knife | Damascus Steel,covert,True,False,knife,0.0,0.5,4,0,"spectrum 2 case, spectrum case",515,411
Butterfly Knife | Doppler,covert,True,False,knife,0.0,0.08,1,0,"spectrum 2 case, spectrum case",515,619
Butterfly Knife | Fade,covert,True,False,knife,0.0,0.08,1,0,,515,38
Butterfly Knife | Forest DDPAT,covert,True,False,knife,0.06,0.8,4,0,,515,5
Butterfly Knife | Freehand,covert,True,False,knife,0.0,0.48,4,0,"dreams and nightmares case, operation riptide case",515,581
Butterfly Knife | Gamma Doppler,covert,True,False,knife,0.0,0.08,1,0,"dreams and nightmares case, operation riptide case",515,572
Butterfly Knife | Lore,covert,True,False,knife,0.0,1.0,4,0,"dreams and nightmares case, operation riptide case",515,1105
Butterfly Knife | Marble Fade,covert,True,False,knife,0.0,0.08,1,0,"spectrum 2 case, spectrum case",515,413
Butterfly Knife | Night,covert,True,False,knife,0.06,0.8,4,0,,515,40
Butterfly Knife | Rust Coat,covert,True,False,knife,0.4,1.0,4,3,"spectrum 2 case, spectrum case",515,414
Butterfly Knife | Safari Mesh,covert,True,False,knife,0.06,0.8,4,0,,515,72
Butterfly Knife | Scorched,covert,True,False,knife,0.06,0.8,4,0,,515,175
Butterfly Knife | Slaughter,covert,True,False,knife,0.01,0.26,2,0,,515,59
Butterfly Knife | Stained,covert,True,False,knife,0.0,1.0,4,0,,515,43
Butterfly Knife | Tiger Tooth,covert,True,False,knife,0.0,0.08,1,0,"spectrum 2 case, spectrum case",515,409
Butterfly Knife | Ultraviolet,covert,True,False,knife,0.06,0.8,4,0,"spectrum 2 case, spectrum case",515,98
Butterfly Knife | Urban Masked,covert,True,False,knife,0.06,0.8,4,0,,515,143
Butterfly Knife | ★ (Vanilla),covert,True,False,knife,0.0,1.0,4,0,,515,0
Classic Knife | Blue Steel,covert,True,False,knife,0.0,1.0,4,0,,503,42
Classic Knife | Boreal Forest,covert,True,False,knife,0.06,0.8,4,0,,503,77
Classic Knife | Case Hardened,covert,True,False,knife,0.0,1.0,4,0,,503,44
Classic Knife | Crimson Web,covert,True,False,knife,0.06,0.8,4,0,,503,12
Classic Knife | Fade,covert,True,False,knife,0.0,0.08,1,0,,503,38
Classic Knife | Forest DDPAT,covert,True,False,knife,0.06,0.8,4,0,,503,5
Classic Knife | Night Stripe,covert,True,False,knife,0.06,0.8,4,0,,503,735
Classic Knife | Safari Mesh,covert,True,False,knife,0.06,0.8,4,0,,503,72
Classic Knife | Scorched,covert,True,False,knife,0.06,0.8,4,0,,503,175
Classic Knife | Slaughter,covert,True,False,knife,0.01,0.26,2,0,,503,59
Classic Knife | Stained,covert,True,False,knife,0.0,1.0,4,0,,503,43
Classic Knife | Urban Masked,covert,True,False,knife,0.06,0.8,4,0,,503,143
Classic Knife | ★ (Vanilla),covert,True,False,knife,0.0,1.0,4,0,,503,0
CZ75-Auto | Army Sheen,consumer grade,False,False,pistol,0.0,0.3,2,0,the chop shop collection,63,298
CZ75-Auto | Chalice,restricted,False,True,pistol,0.0,0.1,1,0,the cobblestone collection,63,325
CZ75-Auto | Circaetus,mil-spec,True,False,pistol,0.0,0.9,4,0,snakebite case,63,1036
CZ75-Auto | Crimson Web,mil-spec,True,False,pistol,0.06,0.8,4,0,csgo weapon case 3,63,12
CZ75-Auto | Distressed,mil-spec,True,False,pistol,0.0,1.0,4,0,prisma 2 case,63,944
CZ75-Auto | Eco,restricted,True,False,pistol,0.0,1.0,4,0,horizon case,63,709
CZ75-Auto | Emerald,mil-spec,False,False,pistol,0.0,0.08,1,0,the chop shop collection,63,453
CZ75-Auto | Emerald Quartz,mil-spec,False,False,pistol,0.0,0.7,4,0,the norse collection,63,859
CZ75-Auto | Framework,consumer grade,False,True,pistol,0.0,0.8,4,0,the 2021 vertigo collection,63,1076
CZ75-Auto | Green Plaid,consumer grade,False,False,pistol,0.0,0.58,4,0,the baggage collection,63,366
CZ75-Auto | Hexane,mil-spec,True,False,pistol,0.0,0.4,3,0,esports 2014 summer case,63,218
CZ75-Auto | Imprint,mil-spec,True,False,pistol,0.0,1.0,4,0,gamma 2 case,63,602
CZ75-Auto | Indigo,consumer grade,False,False,pistol,0.06,0.8,4,0,the canals collection,63,333
CZ75-Auto | Jungle Dashed,consumer grade,False,False,pistol,0.06,0.8,4,0,the control collection,63,147
CZ75-Auto | Midnight Palm,industrial grade,False,True,pistol,0.0,0.5,4,0,the 2021 mirage collection,63,933
CZ75-Auto | Nitro,mil-spec,False,True,pistol,0.06,0.8,4,0,the overpass collection,63,322
CZ75-Auto | Poison Dart,mil-spec,True,False,pistol,0.0,0.7,4,0,the huntsman collection,63,315
CZ75-Auto | Pole Position,restricted,True,False,pistol,0.0,0.7,4,0,chroma 2 case,63,435
CZ75-Auto | Polymer,mil-spec,True,False,pistol,0.0,0.5,4,0,glove case,63,622
CZ75-Auto | Red Astor,restricted,True,False,pistol,0.0,1.0,4,0,chroma 3 case,63,543
CZ75-Auto | Silver,industrial grade,False,True,pistol,0.0,0.08,1,0,the ancient collection,63,32
CZ75-Auto | Syndicate,restricted,False,False,pistol,0.0,0.7,4,0,the 2021 train collection,63,1064
CZ75-Auto | Tacticat,restricted,True,False,pistol,0.0,0.7,4,0,spectrum 2 case,63,687
CZ75-Auto | The Fuschia Is Now,classified,True,False,pistol,0.0,0.4,3,0,csgo weapon case 3,63,269
CZ75-Auto | Tigris,restricted,True,False,pistol,0.0,1.0,4,0,operation breakout weapon case,63,350
CZ75-Auto | Tread Plate,restricted,True,False,pistol,0.0,0.2,2,0,csgo weapon case 3,63,268
CZ75-Auto | Tuxedo,mil-spec,False,False,pistol,0.0,0.8,4,0,the bank collection,63,297
CZ75-Auto | Twist,mil-spec,True,False,pistol,0.0,1.0,4,0,huntsman weapon case,63,334
CZ75-Auto | Vendetta,mil-spec,True,False,pistol,0.0,1.0,4,0,operation broken fang case,63,976
CZ75-Auto | Victoria,covert,True,False,pistol,0.0,0.75,4,0,csgo weapon case 3,63,270
CZ75-Auto | Xiangliu,classified,True,False,pistol,0.0,0.56,4,0,spectrum case,63,643
CZ75-Auto | Yellow Jacket,classified,True,False,pistol,0.0,1.0,4,0,falchion case,63,476
Desert Eagle | Blaze,restricted,False,False,pistol,0.0,0.08,1,0,the dust collection,1,37
Desert Eagle | Blue Ply,mil-spec,True,False,pistol,0.0,1.0,4,0,prisma 2 case,1,945
Desert Eagle | Bronze Deco,mil-spec,True,False,pistol,0.0,0.46,4,0,chroma 2 case,1,425
